"","team","wins","losses","ties","win_perc","offensive_rating","defensive_rating","rank","overall_rating","power_rating"
"75","FGCU",29,28,0,0.508771929824561,-0.574905683089876,0.420795615402132,96,0.398298650682576,0.606206124931835
"76","FIU",29,22,0,0.568627450980392,0.103838994613641,0.011896708138155,93,0.412144619609037,0.617018608486822
"77","Fla. Atlantic",44,9,0,0.830188679245283,1.25236754151253,2.24751704399172,88,0.677085129772855,0.823913837301134
"78","Florida",43,14,0,0.754385964912281,3.58146285508503,2.27168299080758,2,0.842343848030817,0.9529663567003
"79","Florida A&amp;M",24,18,0,0.571428571428571,-0.679394173124663,0.865690788272114,240,0.427676504641844,0.629147644192964
"80","Florida St.",44,8,0,0.846153846153846,3.74334767415549,2.86420875432365,18,0.902572967484651,1
"81","Fordham",28,24,0,0.538461538461538,0.243723762220174,-0.227942320958722,198,0.402164391860382,0.609224928681495
"82","Fresno St.",33,18,0,0.647058823529412,-0.39440128475906,1.58958542816487,94,0.507372736611532,0.69138338963941
"83","Furman",15,37,0,0.288461538461538,-1.48364025478678,-1.52266987243941,140,0.174268991750286,0.431258671568328
"84","Ga. Southern",29,23,0,0.557692307692308,-1.11626363353974,2.06101123734055,92,0.495662552523513,0.682238766135627
"85","Gardner-Webb",23,29,0,0.442307692307692,-0.409570055926554,-1.15156505580412,215,0.28017410178289,0.513961244909235
"86","George Mason",17,34,0,0.333333333333333,-1.19739793005768,-0.554971755771152,219,0.274165741416319,0.509269244082061
"87","George Washington",32,19,0,0.627450980392157,-0.215117046108179,1.10747606702602,287,0.480167880654884,0.670138790636672
"88","Georgetown",11,32,0,0.255813953488372,-0.823169998726121,-0.836595160641443,188,0.277165454815915,0.511611756330577
"89","Georgia",31,20,0,0.607843137254902,1.26678109987193,1.24767940963345,9,0.595612382710952,0.760290789866522
"90","Georgia St.",12,41,0,0.226415094339623,-2.01828983405363,-1.14685363156617,75,0.167794608381493,0.4262027477774
"91","Georgia Tech",26,21,0,0.553191489361702,1.20754667217822,-0.0150328369306583,12,0.487290816538198,0.675701176881405
"92","Grambling",15,31,0,0.326086956521739,-1.6002270478655,-1.64934338212736,312,0.15564635952225,0.416716034228489
"93","Grand Canyon",43,6,0,0.877551020408163,1.49969098689054,2.44581281292704,147,0.71078073648123,0.85022714158086
"94","Green Bay",18,30,0,0.375,-1.55836839751693,-0.947044434545664,271,0.216517778836962,0.464251257209611
"95","Hampton",13,34,0,0.276595744680851,-1.92144120293179,-3.12629262654176,283,0.0112867137356291,0.303983851716617
"96","Harvard",26,11,0,0.702702702702703,0.105085737005087,1.27333147661553,208,0.516295972839541,0.698351652061856
"97","Hawaii",32,18,0,0.64,0.22848462830304,0.952133400117765,210,0.498448279781515,0.684414174034185
"98","Hofstra",20,27,0,0.425531914893617,-1.24592173621909,-0.502337434111766,159,0.2751064632686,0.510003865083425
"99","Holy Cross",8,37,0,0.177777777777778,-2.34445969349392,-1.19006334294426,279,0.141366076984009,0.405564389953872
"100","Houston",21,25,0,0.456521739130435,0.468814859063389,-1.02324115730704,37,0.352333471830155,0.570311364291863
"101","Houston Christian",17,32,0,0.346938775510204,-1.9922549010379,-1.2937631012272,144,0.157500089510282,0.418163634256875
"102","Howard",29,18,0,0.617021276595745,-0.836847435845161,-0.297385117509149,290,0.32068963643842,0.545600312894373
"103","Idaho St.",33,15,0,0.6875,0.856723839918198,0.658434098857959,216,0.518257477259916,0.699883414439843
"104","Illinois",22,27,0,0.448979591836735,-0.494774832870797,0.261356183510938,71,0.390762473716457,0.600321033758628
"105","Illinois St.",21,28,0,0.428571428571429,-1.0679653837072,1.00455921204169,121,0.411894567957926,0.616823340146997
"106","Indiana",33,17,0,0.66,3.04333318328902,0.847678601499368,48,0.687146606240798,0.831770965207915
"107","Indiana St.",19,31,0,0.38,-1.45664385706329,-0.288500303602558,201,0.277976062744613,0.512244769805122
"108","Iona",26,20,0,0.565217391304348,-0.332318986083145,0.554667626469908,280,0.42634748559249,0.628109797243304
"109","Iowa",35,17,0,0.673076923076923,-0.748599695513888,1.41808166138616,45,0.468395646440356,0.660945711443292
"110","Iowa St.",30,22,0,0.576923076923077,0.429004792392782,-0.778697017270316,42,0.36971689928399,0.583886291729024
"111","IU Indy",21,26,0,0.446808510638298,-0.387469793795729,-1.31637976548324,252,0.268126650320299,0.504553245258895
"112","Jackson St.",25,23,0,0.520833333333333,-0.19409581121002,-0.883120468983315,291,0.317424172907472,0.543050273174126
"113","Jacksonville",23,26,0,0.469387755102041,-0.61071731391539,0.641552815067939,101,0.414000021384472,0.618467514034085
"114","Jacksonville St.",35,20,0,0.636363636363636,2.02343713712945,1.21904763373874,97,0.646290497528227,0.799865938848136
"115","James Madison",26,25,0,0.509803921568627,-0.101451505779205,0.558400582871763,65,0.442838808798499,0.640988069750775
"116","Kansas",22,28,0,0.44,0.737359522390876,0.90439022922088,17,0.53018078865366,0.70919447161833
"117","Kansas City",5,42,0,0.106382978723404,-2.52474088322901,-4.08633656773778,118,-0.110203705425175,0.20911052315135
"118","Kennesaw St.",12,40,0,0.230769230769231,-1.5252193121845,-0.663872290651277,86,0.242202178134811,0.484308513332508
"119","Kent St.",11,39,0,0.22,0.891784424346436,-3.35166307715533,154,0.189896157454923,0.443462113096318
"120","Kentucky",29,26,0,0.527272727272727,0.413385414517207,1.17183654337187,10,0.529534211417574,0.708689551683197
"121","Lafayette",7,30,0,0.189189189189189,-2.09584911508443,-2.18079788133133,179,0.0770610652180158,0.355347833357805
"122","Lamar University",28,27,0,0.509090909090909,-0.275116918727934,0.660374369666407,119,0.439077677557221,0.6380509571579
"123","Le Moyne",15,26,0,0.365853658536585,-1.11631534661756,-1.77200694976657,273,0.17944832563618,0.435303275652336
"124","Lehigh",27,22,0,0.551020408163265,-0.42946690121087,-0.947961986921877,224,0.295575912585535,0.525988704085628
"125","Liberty",44,11,0,0.8,1.63757702348526,1.83237673963237,60,0.669839951307799,0.818255990355035
"126","Lindenwood",22,25,0,0.468085106382979,-1.74409152549909,-0.39839079108856,277,0.248760951689115,0.489430338433621
"127","Lipscomb",25,30,0,0.454545454545455,-0.20194003908966,-0.162179372695892,117,0.376349427938063,0.58906571307404
"128","LIU",22,20,0,0.523809523809524,0.468562008967745,-0.672320501149931,243,0.381265474993184,0.592904713307346
"129","LMU (CA)",21,29,0,0.42,0.492004902594096,-0.326612334941096,98,0.411428492120566,0.616459375923648
"130","Long Beach St.",26,20,0,0.565217391304348,0.376865559687331,0.897775410207712,156,0.504365154183393,0.689034732371924
"131","Longwood",20,30,0,0.4,-0.527943313225783,0.121071571016005,115,0.376864436733579,0.589467889632558
"132","Louisiana",28,24,0,0.538461538461538,-0.177591720066074,0.761165537024049,40,0.454228925825403,0.649882749039517
"133","Louisiana Tech",31,23,0,0.574074074074074,0.117892389132281,0.646655566931615,77,0.465495122611561,0.658680657522815
"134","Louisville",25,25,0,0.5,1.43933948527639,0.222466557793965,26,0.523131917814973,0.703689923657164
"135","Loyola Chicago",19,34,0,0.358490566037736,-1.76362069905103,-1.16475554291258,209,0.184169580944954,0.438990160669639
"136","LSU",41,13,0,0.759259259259259,2.90033176920434,2.77271577908702,5,0.835931319594948,0.947958736169952
"137","Maine",12,35,0,0.25531914893617,-1.56665415237715,-1.888910569841,294,0.138236299506641,0.403120309103731
"138","Manhattan",10,35,0,0.222222222222222,-1.90376787266374,-2.20786088328781,268,0.0882929886608299,0.36411897737534
"139","Marist",44,7,1,0.862745098039216,2.27862091557924,1.42252935264288,276,0.680964921246173,0.826943613095435
"140","Marshall",31,22,0,0.584905660377358,1.60236155995142,-0.0813492619086311,72,0.509495709302628,0.693041244530756
"141","Maryland",18,31,0,0.36734693877551,0.149130803617061,-0.361974617385863,44,0.384476411041619,0.595412171861111
"142","Massachusetts",14,31,0,0.311111111111111,-1.95950322773219,-0.608725147154842,222,0.216309155582186,0.464088340802429
"143","McNeese",40,17,0,0.701754385964912,1.22628069675832,0.526226642330671,120,0.533256050747328,0.711595980750098
"144","Memphis",18,36,0,0.333333333333333,-0.899371490617329,-1.59789686725631,113,0.209019146837763,0.458395485352339
"145","Mercer",33,23,0,0.589285714285714,1.16442546223147,0.308513494715785,111,0.510959543853292,0.69418437052579
"146","Mercyhurst",5,33,0,0.131578947368421,-2.99170920425058,-3.17073051306288,302,-0.0674029896941659,0.242534116504847
"147","Merrimack",11,32,0,0.255813953488372,-2.2711485388388,-0.984953104944298,266,0.163425925906938,0.422791191124054
"148","Miami (OH)",30,23,0,0.566037735849057,0.799098142895665,-0.0514651570253981,148,0.45565381936159,0.6509954655283
