"","team_name","rpi_coef","record","rpi_rank"
"114","Indiana St.",0.461116811683083,"19-31-0",212
"115","Iona",0.483789727521409,"26-20-0",178
"116","Iowa",0.563387617692602,"35-17-0",48
"117","Iowa St.",0.550971979067276,"30-22-0",61
"118","Jackson St.",0.4367115256605,"25-22-0",250
"119","Jacksonville",0.502095175940591,"23-26-0",144
"120","Jacksonville St.",0.538709446457652,"35-20-0",80
"121","James Madison",0.522005643492805,"26-25-0",104
"122","Jamestown",0.352666137028908,"0-2-0",311
"123","Kansas",0.540490866281124,"22-28-0",72
"124","Kansas City",0.406025923444666,"5-42-0",288
"125","Kennesaw St.",0.447437104304907,"12-40-0",237
"126","Kent St.",0.439546943685426,"11-39-0",245
"127","Kentucky",0.58310248867888,"29-26-0",34
"128","LIU",0.48160391609093,"22-20-0",182
"129","LMU (CA)",0.518789823068201,"21-29-0",109
"130","LSU",0.648329076917524,"41-13-0",7
"131","Lafayette",0.421555677994838,"7-30-0",267
"132","Lamar University",0.49635350463375,"28-27-0",157
"133","Le Moyne",0.424321845694138,"15-26-0",263
"134","Lehigh",0.481629201061015,"27-22-0",181
"135","Liberty",0.594685327488409,"44-11-0",28
"136","Lincoln (PA)",0.260116619309354,"0-4-0",319
"137","Lindenwood",0.457125653612479,"22-24-0",222
"138","Lipscomb",0.496699551535263,"25-30-0",155
"139","Long Beach St.",0.507880981630504,"26-20-0",130
"140","Longwood",0.494398392109773,"20-30-0",163
"141","Louisiana",0.554697207453175,"28-24-0",57
"142","Louisiana Tech",0.538864983806788,"31-23-0",79
"143","Louisville",0.556657887106817,"25-25-0",56
"144","Loyola Chicago",0.460797040514238,"19-34-0",213
"145","Maine",0.382313361877333,"12-35-0",302
"146","Manhattan",0.397220058297559,"10-35-0",295
"147","Marist",0.537746841011104,"44-7-1",81
"148","Marshall",0.540103156814671,"31-22-0",74
"149","Maryland",0.517587474295363,"18-31-0",113
"150","Massachusetts",0.436264858392715,"14-31-0",252
"151","McNeese",0.539327331527805,"40-17-0",77
"152","Memphis",0.462452279129804,"18-35-0",209
"153","Mercer",0.540058935755248,"33-23-0",75
"154","Mercyhurst",0.354606206920312,"5-33-0",310
"155","Merrimack",0.395342652467078,"11-32-0",296
"156","Miami (OH)",0.507338325230663,"30-23-0",131
"157","Michigan",0.568303693173221,"35-19-0",42
"158","Michigan St.",0.503005762586006,"16-29-0",141
"159","Middle Tenn.",0.523803913315314,"26-27-0",99
"160","Minn.-Crookston",0.352666137028908,"0-1-0",311
"161","Minnesota",0.523065154295692,"20-30-0",101
"162","Mississippi St.",0.6082698271528,"37-17-0",22
"163","Mississippi Val.",0.335746863248741,"1-34-0",314
"164","Missouri",0.578942064962403,"25-31-0",40
"165","Missouri St.",0.474853647224013,"20-32-0",196
"166","Monmouth",0.406535605033413,"11-42-0",286
"167","Mont. St. Billings",0.198105821375643,"0-2-0",322
"168","Montana",0.390304072116038,"8-41-0",300
"169","Morehead St.",0.401075075424358,"8-41-0",292
"170","Morgan St.",0.415539700814125,"18-28-0",273
"171","Mount St. Mary's",0.377281402002577,"10-39-0",305
"172","Murray St.",0.456077062552161,"21-27-0",226
"173","N.C. A&T",0.401249893309712,"12-38-0",291
"174","N.C. Central",0.416287482306667,"13-32-0",272
"175","NC State",0.545344939861266,"25-29-0",65
"176","NIU",0.47910547435623,"21-28-0",189
"177","Nebraska",0.60222245696318,"38-12-0",25
"178","Nevada",0.585605821933685,"40-12-0",31
"179","New Mexico",0.488471279707189,"21-28-1",170
"180","New Mexico St.",0.505918259694366,"26-26-0",135
"181","Niagara",0.411474176436755,"11-30-0",279
"182","Nicholls",0.497492075974653,"31-24-0",150
"183","Norfolk St.",0.410144952570514,"21-22-0",282
"184","North Ala.",0.525061490596986,"29-21-0",97
"185","North Carolina",0.583425211817976,"39-14-0",32
"186","North Dakota",0.468617818761368,"26-28-0",202
